Run Date,Action,Symbol,Description,Type,Quantity,Price ($),Commission ($),Fees ($),Accrued Interest ($),Amount ($),Cash Balance ($),Settlement Date
 02/25/2025, YOU BOUGHT CLOSING TRANSACTION CALL (MSFT) MICROSOFT CORP FEB 28 25 $420 (100 SHS) (Margin), -MSFT250228C420, CALL (MSFT) MICROSOFT CORP FEB 28 25 $420 (100 SHS),Margin,1,0.24,,0.03,,-24.03,Processing,2/26/25
 02/25/2025, YOU SOLD OPENING TRANSACTION CALL (MSFT) MICROSOFT CORP MAR 21 25 $410 (100 SHS) (Margin), -MSFT250321C410, CALL (MSFT) MICROSOFT CORP MAR 21 25 $410 (100 SHS),Margin,-1,5.57,0.65,0.05,,556.3,Processing,2/26/25
 02/24/2025, YOU SOLD OPENING TRANSACTION CALL (NVDA) NVIDIA CORPORATION MAY 16 25 $135 (100 SHS) (Margin), -NVDA250516C135, CALL (NVDA) NVIDIA CORPORATION MAY 16 25 $135 (100 SHS),Margin,-4,11.8,2.6,0.25,,4717.15,786.44,2/25/25
 02/24/2025, YOU BOUGHT CLOSING TRANSACTION CALL (NVDA) NVIDIA CORPORATION APR 17 25 $135 (100 SHS) (Margin), -NVDA250417C135, CALL (NVDA) NVIDIA CORPORATION APR 17 25 $135 (100 SHS),Margin,4,9.82,2.6,0.11,,-3930.71,-3930.71,2/25/25
 02/14/2025, YOU BOUGHT CLOSING TRANSACTION CALL (AAPL) APPLE INC FEB 28 25 $245 (100 SHS) (Margin), -AAPL250228C245, CALL (AAPL) APPLE INC FEB 28 25 $245 (100 SHS),Margin,2,3.75,1.3,0.05,,-751.35,589.26,2/18/25
 02/14/2025, YOU SOLD OPENING TRANSACTION CALL (AAPL) APPLE INC APR 17 25 $250 (100 SHS) (Margin), -AAPL250417C250, CALL (AAPL) APPLE INC APR 17 25 $250 (100 SHS),Margin,-2,6.71,1.3,0.09,,1340.61,1340.61,2/18/25
 02/12/2025, YOU SOLD OPENING TRANSACTION CALL (TSLA) TESLA INC COM JUL 18 25 $235 (100 SHS) (Margin), -TSLA250718C235, CALL (TSLA) TESLA INC COM JUL 18 25 $235 (100 SHS),Margin,-2,118.07,1.3,0.71,,23611.99,96547.87,2/13/25
 02/12/2025, YOU BOUGHT CLOSING TRANSACTION CALL (TSLA) TESLA INC COM APR 17 25 $230 (100 SHS) (Margin), -TSLA250417C230, CALL (TSLA) TESLA INC COM APR 17 25 $230 (100 SHS),Margin,2,114.09,1.3,0.05,,-22819.35,72935.88,2/13/25
 02/11/2025, YOU SOLD OPENING TRANSACTION CALL (MSFT) MICROSOFT CORP FEB 28 25 $420 (100 SHS) (Margin), -MSFT250228C420, CALL (MSFT) MICROSOFT CORP FEB 28 25 $420 (100 SHS),Margin,-1,3.42,0.65,0.03,,341.32,95755.23,2/12/25
 02/11/2025, YOU BOUGHT CLOSING TRANSACTION CALL (AMZN) AMAZON.COM INC MAY 16 25 $205 (100 SHS) (Margin), -AMZN250516C205, CALL (AMZN) AMAZON.COM INC MAY 16 25 $205 (100 SHS),Margin,3,32.15,1.95,0.08,,-9647.03,95413.91,2/12/25
 02/11/2025, YOU BOUGHT CLOSING TRANSACTION CALL (GOOG) ALPHABET INC CAP STK APR 17 25 $185 (100 SHS) (Margin), -GOOG250417C185, CALL (GOOG) ALPHABET INC CAP STK APR 17 25 $185 (100 SHS),Margin,2,9.49,1.3,0.05,,-1899.35,105060.94,2/12/25
